text,start,end
"Mid- January",01-10,01-20
"Week of January 15",01-15,01-19
"Jan. 29",01-29
"Feb. 2",02-2
"Feb.16",02-16
"Feb. 22",02-22
"Feb. 24",02-24
"March 16",03-16
"March 18",03-18
"April 4",04-4
"April 9",04-9
"April 16",04-16
"April 17",04-17
"May 16",05-16
"May 17",05-17
"May 20",05-20
"May 24",05-24
"May 30",05-30
"May 31",05-31
"June 2",06-2
"June 4",06-4
"June 7",06-7
"June11",06-11
"July 13",07-13
"July 18",07-18
"August 1",08-1
"August 7",08-7
"August 17",08-17
"August 18",08-18
"August 19",08-19
"August 20",08-20
"August 21",08-21
"August 24",08-24
"August 29",08-29
"August 30",08-30
"Sept.11",09-11
"Sept. 12",09-12
"Sept. 14",09-14
"Sept. - Nov., unknown dates",09-01,11-30
"Sept. 17",09-17
"Sept. 20",09-20
"Sept. 28",09-29
"Oct. 26",10-26
"Nov. 7",11-07
"Nov. 8",11-08
"Nov. 19",11-19
"Nov. 26",11-26
"Nov. 29",11-29
"Dec. 4",12-04
"Dec. 7",12-07
"Feb. 19",02-19
"Feb. 21",02-21
"Mar. 22",03-22
"Mar. 24",03-24
